id,timestamp,BTC,ETH,SOL,XRP,DOGE,LINK,ADA
0,1634256000000,57078.5,3769.6,148.055,1.1147,0.2299,26.296,2.1539
1,1634259600000,57281.0,3752.7,148.31,1.1158,0.2296,26.212,2.1523
2,1634263200000,59118.0,3836.45,150.645,1.1365,0.2338,26.781,2.1806
3,1634266800000,59425.0,3824.8,150.96,1.136,0.2338,26.859,2.1766
4,1634270400000,59600.0,3826.8,154.795,1.1377,0.2329,26.78,2.2001
5,1634274000000,59583.5,3853.7,154.905,1.1459,0.235,26.889,2.2097
6,1634277600000,59690.5,3834.0,161.955,1.139,0.2329,26.772,2.1981
7,1634281200000,59300.5,3810.4,161.58,1.1428,0.2314,26.938,2.2
8,1634284800000,58988.5,3766.4,159.5,1.1164,0.2272,26.307,2.1603
9,1634288400000,59386.5,3785.95,160.155,1.1176,0.2277,26.403,2.1558
10,1634292000000,59291.0,3785.15,159.385,1.1166,0.2277,26.413,2.1568
11,1634295600000,59560.5,3783.85,158.11,1.1193,0.2287,26.557,2.1646
12,1634299200000,59311.5,3772.1,158.575,1.1167,0.2278,26.434,2.1556
13,1634302800000,60000.0,3817.15,159.635,1.1237,0.2295,26.557,2.1667
14,1634306400000,60067.5,3811.85,160.555,1.124,0.23,26.36,2.1722
15,1634310000000,60039.5,3791.25,159.3,1.1269,0.2306,26.316,2.2216
16,1634313600000,61490.5,3869.2,161.965,1.1366,0.2342,26.833,2.2321
17,1634317200000,61769.5,3859.8,161.17,1.1361,0.233,27.022,2.2182
18,1634320800000,61657.5,3882.45,161.26,1.1482,0.2375,27.081,2.2267
19,1634324400000,61511.0,3852.35,160.51,1.1471,0.2396,27.067,2.2223
20,1634328000000,62625.5,3885.65,162.44,1.154,0.2393,27.307,2.2364
21,1634331600000,61313.0,3843.6,159.46,1.1391,0.2355,26.971,2.2148
22,1634335200000,61399.5,3851.95,161.95,1.14,0.2355,26.967,2.2182
23,1634338800000,61743.5,3871.5,163.195,1.1408,0.2341,27.021,2.2195
24,1634342400000,61480.0,3847.35,160.25,1.1395,0.2375,27.202,2.2265
25,1634346000000,61423.5,3836.95,158.92,1.139,0.2389,27.225,2.228
26,1634349600000,61689.0,3856.45,159.88,1.1434,0.2394,27.461,2.2343
27,1634353200000,61699.5,3845.0,158.83,1.1386,0.2372,27.137,2.2172
28,1634356800000,61824.5,3839.4,158.59,1.1416,0.2379,27.092,2.2168
29,1634360400000,62221.0,3858.8,159.255,1.1441,0.239,27.215,2.2154
30,1634364000000,61937.5,3853.1,159.795,1.1394,0.2387,27.228,2.2153
31,1634367600000,61795.5,3854.0,158.405,1.1393,0.2379,27.094,2.2087
32,1634371200000,61625.5,3945.8,160.755,1.1526,0.2392,27.742,2.2293
33,1634374800000,61528.0,3939.65,161.865,1.153,0.2408,28.0,2.2295
34,1634378400000,61640.0,3940.65,162.755,1.1618,0.2397,27.992,2.2323
35,1634382000000,61724.0,3963.1,162.415,1.1738,0.2415,28.12,2.2467
36,1634385600000,60779.5,3900.65,159.205,1.1459,0.2373,27.391,2.2011
37,1634389200000,61070.0,3922.35,160.185,1.1516,0.2387,27.945,2.2137
